ACO Identifier,ACO Name,Start Date,Track 2 ACO,Advance pay status,Interim payment election,Advanced payment amount,Quality Score,Quality Performance Sharing Rate,Final sharing rate,Minimum Loss Rate (%),Minimum Savings Rate (%),Total benchmark expenditures ($),Total savings/losses ($),Shared Savings ($),Shared Losses ($),Total number of assigned beneficiaries,Total assigned beneficiary person years,Total number of ESRD assigned beneficiary person years,Total number of DISABLED  assigned beneficiary person years,Total number of AGED/DUAL assigned beneficiary person years,Total number of AGED/NON-DUAL assigned beneficiary person years,"Total number of assigned beneficiaries, age 0-64","Total number of assigned beneficiaries, age 65-74","Total number of assigned beneficiaries, age 75-84","Total number of assigned beneficiaries, age 85+","Total number of assigned beneficiaries, Female","Total number of assigned beneficiaries, Male","Total number of assigned beneficiaries, Non-Hispanic White","Total number of assigned beneficiaries, Black","Total number of assigned beneficiaries, Asian","Total number of assigned beneficiaries, Hispanic","Total number of assigned beneficiaries, North American Native","Total number of assigned beneficiaries, Other",Total performance year spending per assigned beneficiary,Total expenditures per assigned ESRD beneficiary,Total expenditures per assigned DISABLED beneficiary,Total expenditures per assigned AGED/DUAL beneficiary,Total expenditures per assigned AGED/NON-DUAL beneficiary,Total inpatient spending per assigned beneficiary,Acute care hospital (IPPS/CAH) spending per assigned beneficiary,Long-term care hospital spending per assigned beneficiary,Inpatient rehabilitation facility (IRF) spending per assigned beneficiary,Inpatient psychiatric hospital spending per assigned beneficiary,Hospice spending per assigned beneficiary,Skilled nursing facility spending per assigned beneficiary,Other inpatient spending per assigned beneficiary,Physician/supplier spending per assigned beneficiary,Ambulance spending per assigned beneficiary,Home health spending per assigned beneficiary,Durable medical equipment spending per assigned beneficiary,"Inpatient hospital discharges per 1,000 person years","Acute care hospital discharges per 1,000 person years","LTCH discharges per 1,000 person years","IRF discharges per 1,000 person years","IPF discharges per 1,000 person years","CHF (PQI8) discharges  per 1,000 person years","COPD/Asthma (PQI5) discharges per 1,000 person years","Bacterial Pneumonia (PQI11) discharges per 1,000 person years","Acute care readmissions (all-cause 30 day) per 1,000 discharges","Post-acute care discharge provider visits (30 day)  per 1,000 discharges","Skilled nursing facility discharges per 1,000 person years","Outpatient ED visits per 1,000 person years","Inpatient ED visits per 1,000 person years","Computed tomography (CT) events per 1,000 person years","Magnetic resonance imaging (MRI) events per 1,000 person years","Primary care services per 1,000 person years","Primary care services with a PCP per 1,000 person years","Primary care services with a specialist per 1,000 person years","Primary care services with a NP/PA/CNS per 1,000 person years","Primary care services with a FQHC/RHC per 1,000 person years",Number of CAH IIs,Number of FQHCs,Number of RHCs,Number of ETA hospitals,Number of other facility types,Number of participating PCPs,Number of participating specialists,Number of participating nurse practitioners,Number of participating physician assistants,Number of participating clinical nurse specialist,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY
A67373,"Palm Beach Accountable Care Organization, LLC",07/01/2012,0,0,0,,1,0.5,0.5,,0.023373146%,$613084880.40,$573516045.50,$39568834.84,$19388729.07,,36268,29883.83333,305.75,2127.916667,1378.5,26071.66667,3178,11716,10013,5897,17789,13015,27497,2080,185,554,12,$476.00,$82799.14,$13120.67,$15800.90,$11745.78,$3156.30,$2842.97,$147.21,$149.10,$58.72,$516.37,$1032.93,$0.00,$5588.21,$129.33,$926.78,$276.52,342.694,321.244,4.149,8.165,9.135,13.452,9.269,8.801,164.374,797.331,96.775,662.800,268.205,878.334,405.637,14776.183,5253.677,8814.097,698.070,10.340,0,0,0,0,0,118,167,44,0,0,1.075728483,1.293688429,1.086807198,1.211796784,1.034869463,1.31134347,1.11380737,1.229291372,1.048887739,1.297514161,1.132787432,1.229119507,1.043975796,1.304745943,1.094836516,1.212689089
A38665,"Chinese Community Accountable Care Organization, Inc.",04/01/2012,0,0,1,,1,0.5,0.5,,0.02769974%,$192513845.30,$189064664.70,$3449180.60,$0.00,,13833,11344.25,154.4166667,789.4166667,8256,2144.416667,1129,4160,4393,1957,7067,4572,834,234,8922,102,2,$1545.00,$73702.15,$9429.75,$8563.43,$9711.35,$2514.03,$2328.35,$24.14,$76.45,$85.70,$174.91,$663.00,$0.00,$4739.10,$112.03,$493.18,$231.68,232.100,223.638,0.882,4.055,3.526,5.994,7.493,8.198,150.967,831.345,42.841,318.399,172.598,545.475,274.500,15622.099,9401.239,6059.281,122.353,39.227,0,0,0,0,0,91,164,15,0,0,1.04531661,1.171321272,0.880507813,1.136598777,1.017386864,1.205016653,0.862572572,1.206102511,1.027215634,1.150872775,0.881515075,1.218909482,0.987706372,1.132167694,0.899801048,1.201790619
A64796,Summit Health Solutions,07/01/2012,0,0,1,,1,0.5,0.5,,0.022940431%,$423018269.90,$432205624.50,$-9187354.55,$0.00,,40595,36254,232.8333333,3974.333333,1113.333333,30933.5,5508,16680,10728,4420,21051,16285,35819,978,72,32,21,$414.00,$68343.36,$7552.37,$13412.86,$7465.68,$2222.71,$2002.83,$82.40,$101.66,$60.85,$238.70,$645.81,$0.00,$2924.42,$171.83,$470.14,$302.81,282.231,264.633,2.758,6.317,8.523,11.999,6.565,11.861,130.616,792.870,75.716,624.566,192.034,678.794,257.130,10056.242,4590.887,4042.809,1406.217,16.329,0,0,0,0,11,255,200,140,2,1,1.029810535,1.081841478,1.016175388,0.96558187,1.054838215,1.049889959,1.04612473,0.971013231,1.032752253,1.048790661,1.088708192,0.966634394,1.005642996,1.068673905,1.096389303,0.986912493
A84830,"South Florida Accountable Care Organization,LLC",01/01/2013,0,0,,,1,0.5,0.5,,0.0356997%,$113937019.30,$108262083.10,$5674936.00,$2780718.75,,6150,5958.166667,111.25,683.5,1724.333333,3439.083333,903,2195,2007,1045,3636,2514,4342,471,30,1191,5,$111.00,$84785.70,$16360.81,$22528.31,$14190.03,$5811.68,$4900.19,$492.43,$485.14,$63.61,$475.67,$2011.97,$0.73,$5140.28,$221.74,$3000.09,$371.02,580.044,532.043,14.098,23.833,9.902,27.357,33.400,14.770,195.586,761.496,169.851,964.223,470.111,1098.157,426.641,13112.591,5543.484,6996.112,544.631,28.364,0,0,0,0,0,37,45,3,0,0,0.99298527,1.496701169,1.260627207,1.249206952,1.039877355,1.591468558,1.28156481,1.286969746,1.027924472,1.56266544,1.290684752,1.332055993,1.074089001,1.54127366,1.261080153,1.379420006
A76261,"Hackensack Physician-Hospital Alliance ACO, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.026446689%,$279469265.20,$268721596.70,$10747668.51,$5266357.57,,16383,13527.5,65.58333333,882.1666667,589.3333333,11990.41667,1399,6106,4282,2124,8328,5583,12479,598,142,295,5,$392.00,$137845.30,$12233.73,$24284.40,$11031.16,$4046.90,$3544.36,$78.81,$345.00,$126.25,$189.82,$1866.39,$0.00,$4357.42,$160.09,$543.26,$221.55,323.563,293.772,2.587,18.703,8.501,10.941,7.540,7.540,159.580,824.780,134.245,555.979,243.578,800.444,289.189,12513.990,4770.948,7212.271,526.927,3.844,0,1,0,0,0,147,377,76,4,0,1.075504007,1.19566877,1.23201305,1.072875101,1.056906297,1.149624772,1.206763823,1.083118763,1.093845421,1.16257495,1.262306402,1.061699955,1.111110211,1.073841377,1.202390191,1.040681177
A39692,"Primary Partners, LLC",04/01/2012,0,1,0,1741260,1,0.5,0.5,,0.031972973%,$107079178.50,$107646159.40,$-566980.90,$0.00,,8027,6808.333333,58.75,659,339.1666667,5751.416667,947,3334,2011,705,3981,3016,6051,499,50,237,11,$149.00,$76049.61,$10325.12,$11042.74,$8295.40,$2583.58,$2413.06,$75.90,$73.14,$47.79,$195.69,$569.52,$0.00,$3707.75,$90.26,$545.21,$312.32,308.739,295.080,2.350,3.819,7.491,14.835,11.310,8.225,144.289,798.096,55.814,652.876,222.962,686.365,303.011,11877.062,5628.984,5735.912,478.091,34.076,0,0,0,0,0,21,3,3,0,0,1.040412476,1.138984649,1.016388128,0.988509768,1.118432208,1.18817498,1.066740302,0.99234235,1.054166252,1.146418401,0.989569484,1.012442354,1.026103317,1.176902813,1.076916428,1.041109377
A38596,Concord Elliot ACO LLC,07/01/2012,0,0,0,,1,0.5,0.5,,0.028826765%,$140541043.70,$143035665.20,$-2494621.50,$0.00,,11955,10346.33333,33,1788,209.6666667,8315.666667,2179,4308,2736,1441,5866,4798,10445,35,20,16,3,$145.00,$89576.18,$8747.69,$12824.94,$8974.24,$3048.85,$2492.73,$7.48,$413.81,$153.18,$341.46,$864.77,$1.99,$2180.65,$142.88,$773.07,$237.34,292.471,261.059,0.290,18.171,12.855,16.818,12.372,11.405,130.216,782.734,71.040,833.629,215.729,547.150,220.658,8268.920,3165.856,3049.679,2042.366,11.018,0,0,0,0,2,303,321,143,0,0,1.01533035,0.969720043,0.91199329,0.998270932,1.008278878,0.947600864,0.972865541,0.989631511,1.020278709,0.956186662,0.894235686,0.983233201,1.052900067,0.959358542,0.949397501,0.98400434
A60892,"Arizona Connected Care, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.0314004%,$112244441.00,$117756625.80,$-5512184.77,$0.00,,8599,6587.5,106.8333333,994.25,323.0833333,5163.333333,1436,3058,1658,707,3734,3125,5927,207,48,375,149,$153.00,$72471.92,$8651.76,$6658.64,$9736.91,$3768.82,$2861.88,$198.79,$701.78,$82.13,$174.26,$907.94,$0.00,$3539.91,$136.80,$413.98,$222.93,351.423,286.603,5.465,44.023,15.332,10.019,7.438,9.108,160.535,756.331,89.715,708.311,240.607,705.123,322.581,10417.609,3565.996,4590.512,894.421,1366.679,0,23,0,0,0,194,228,122,0,0,1.014898319,1.048580084,0.823029105,1.027315827,0.987744329,1.085161323,0.833382147,1.006035003,1.001473197,1.069864658,0.748897926,1.018364445,0.987341109,1.145455428,0.785404849,1.057566252
A58483,"AHS ACO, LLC",04/01/2012,0,0,0,,1,0.5,0.5,,0.02%,$1114417958.00,$1145132068.00,$-30714109.91,$0.00,,73694,57340.33333,458.75,4603.75,2256.916667,50020.91667,7170,26160,17436,8800,33702,25864,54125,2501,881,511,17,$1531.00,$94252.50,$11485.82,$18521.70,$10770.78,$3774.14,$3357.67,$92.33,$277.50,$90.77,$304.44,$1430.00,$0.00,$4274.11,$174.33,$423.35,$250.46,333.966,309.028,2.337,15.347,7.255,14.126,8.737,8.284,158.924,808.094,115.659,585.688,262.604,763.519,266.702,11284.789,4012.289,6768.882,500.113,3.505,0,0,0,0,0,432,940,135,9,3,1.031612066,1.131907018,1.194288443,1.071226085,1.056483709,1.10207377,1.133533706,1.073217404,1.023806247,1.097213013,1.113864755,1.061589905,1.041454023,1.099921978,1.148486629,1.065446618
A61599,"Florida Physicians Trust, LLC",04/01/2012,0,0,0,,0,0.5,0,,0.030215215%,$133909340.40,$135681373.50,$-1772033.04,$0.00,,9784,7749.166667,52.08333333,649.75,516.25,6531.083333,931,3235,2462,1312,4599,3341,7014,330,45,386,7,$158.00,$69238.28,$11017.32,$13096.31,$9552.14,$2745.97,$2426.70,$49.66,$219.86,$65.50,$160.98,$364.99,$1.70,$4456.75,$91.74,$1098.35,$284.78,319.389,294.354,1.420,13.421,10.066,13.808,12.517,9.033,142.366,775.914,37.940,603.420,239.510,760.082,364.297,12572.062,4387.956,7785.611,387.267,11.227,0,0,0,0,0,54,40,10,0,0,1.045761056,1.113358146,0.979173407,1.178698214,0.989706036,1.182008646,1.073665514,1.170663329,1.003017312,1.25274353,1.052390707,1.166056215,1.020090169,1.25728152,1.039961056,1.215307893
